电影名,评分,地区,类型,详情连接,海报连接
背靠背，脸对脸,9.4,香港,剧情,https://movie.douban.com/subject/1307856/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.jpg
无间道,9.1,香港,剧情,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233971046.jpg
活着,9.1,香港,剧情,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
南海十三郎,9.1,香港,剧情,https://movie.douban.com/subject/1303913/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2328424489.jpg
上海滩,9.1,香港,剧情,https://movie.douban.com/subject/6311260/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2344833803.jpg
饮食男女,9.1,台湾,剧情,https://movie.douban.com/subject/1291818/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
少年派的奇幻漂流,9.0,台湾,剧情,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
无言的山丘,9.0,台湾,剧情,https://movie.douban.com/subject/1298944/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2522310203.jpg
长假,9.0,台湾,剧情,https://movie.douban.com/subject/3098844/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2153135246.jpg
夏目友人帐 第六季 特别篇 铃响的残株,9.5,日本,剧情,https://movie.douban.com/subject/27121232/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497232204.jpg
北国之恋：2002遗言,9.5,日本,剧情,https://movie.douban.com/subject/2025137/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508558327.jpg
北国之恋：1987初恋,9.5,日本,剧情,https://movie.douban.com/subject/3794147/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2472830331.jpg
北国之恋：1992自立,9.5,日本,剧情,https://movie.douban.com/subject/2025124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508557701.jpg
北国之恋：1989归乡,9.5,日本,剧情,https://movie.douban.com/subject/3794149/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2522940189.jpg
北国之恋：1984夏天,9.5,日本,剧情,https://movie.douban.com/subject/3794146/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2472828763.jpg
新世纪福音战士剧场版：Air/真心为你,9.4,日本,剧情,https://movie.douban.com/subject/1308892/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716993.jpg
北国之恋：1998时代,9.4,日本,剧情,https://movie.douban.com/subject/2025138/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323647341.jpg
北国之恋：1995秘密,9.4,日本,剧情,https://movie.douban.com/subject/2025130/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508557411.jpg
转世熏风,9.4,日本,剧情,https://movie.douban.com/subject/25745644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2317900073.jpg
千与千寻,9.3,日本,剧情,https://movie.douban.com/subject/1291561/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg
福音战士新剧场版：破,9.3,日本,剧情,https://movie.douban.com/subject/2567646/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1026522114.jpg
银魂完结篇：直到永远的万事屋,9.3,日本,剧情,https://movie.douban.com/subject/11615927/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258024316.jpg
夏目友人帐 第六季 特别篇 梦幻的碎片,9.3,日本,剧情,https://movie.douban.com/subject/27167055/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2501694602.jpg
夏目友人帐 五 特别篇：一夜酒杯,9.3,日本,剧情,https://movie.douban.com/subject/27011740/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454093081.jpg
新世纪福音战士剧场版：复兴,9.3,日本,剧情,https://movie.douban.com/subject/20458867/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227584460.jpg
北国之恋：1983冬天,9.3,日本,剧情,https://movie.douban.com/subject/3794145/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2472822148.jpg
七武士,9.2,日本,剧情,https://movie.douban.com/subject/1295399/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p647099823.jpg
东京物语,9.2,日本,剧情,https://movie.douban.com/subject/1291568/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg
新世纪福音战士剧场版：死与新生,9.2,日本,剧情,https://movie.douban.com/subject/1455442/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p454134242.jpg
切腹,9.2,日本,剧情,https://movie.douban.com/subject/1304920/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151748293.jpg
夏目友人帐：曾几何时下雪之日,9.2,日本,剧情,https://movie.douban.com/subject/25736048/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2151897085.jpg
虫师 铃之滴,9.2,日本,剧情,https://movie.douban.com/subject/26287114/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2237552672.jpg
虫师 续章 荆棘之路,9.2,日本,剧情,https://movie.douban.com/subject/25915882/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2189258450.jpg
虎与龙SP,9.2,日本,剧情,https://movie.douban.com/subject/3118848/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p809505182.jpg
剧场版 吹响吧！上低音号2～想要传达的旋律～,9.2,日本,剧情,https://movie.douban.com/subject/26994755/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499628260.jpg
宇宙兄弟#0,9.2,日本,剧情,https://movie.douban.com/subject/25792658/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2179388771.jpg
栗色小天使,9.2,日本,剧情,https://movie.douban.com/subject/2376466/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1510442260.jpg
铃兰：少女萌的故事,9.2,日本,剧情,https://movie.douban.com/subject/2065097/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195973053.jpg
无人知晓,9.1,日本,剧情,https://movie.douban.com/subject/1292337/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
福音战士新剧场版：序,9.1,日本,剧情,https://movie.douban.com/subject/1968790/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2411110730.jpg
攻壳机动队2：无罪,9.1,日本,剧情,https://movie.douban.com/subject/1291566/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg
生之欲,9.1,日本,剧情,https://movie.douban.com/subject/1293847/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2079076441.jpg
最完美的离婚 2014特别篇,9.1,日本,剧情,https://movie.douban.com/subject/25790749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2186872257.jpg
夏目友人帐 第五季 特别篇 游戏盛宴,9.1,日本,剧情,https://movie.douban.com/subject/27017278/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455096331.jpg
情迷意乱,9.1,日本,剧情,https://movie.douban.com/subject/1422091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1449763371.jpg
女人步上楼梯时,9.1,日本,剧情,https://movie.douban.com/subject/1419479/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1805354637.jpg
天元突破剧场版：螺岩篇,9.1,日本,剧情,https://movie.douban.com/subject/3727748/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p937216094.jpg
孤独的美食家 除夕特别篇～ 最后一食！濑户内出差篇,9.1,日本,剧情,https://movie.douban.com/subject/27203607/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2513289247.jpg
倒数第二次恋爱 2012秋SP,9.1,日本,剧情,https://movie.douban.com/subject/19955789/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1998695160.jpg
新世纪福音战士 第0:0话 诞生之始,9.1,日本,剧情,https://movie.douban.com/subject/26306741/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2222846543.jpg
人间的条件(第五、六部),9.1,日本,剧情,https://movie.douban.com/subject/1441039/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327866185.jpg
